from	to	mean	stderr of mean	stdev	variance	median	value range	geometric mean	95% HPD interval	auto-correlation time (ACT)	effective sample size (ESS)	number of samples
Scotland	Italy	0.9235	0.0677	0.9175	0.8418	0.6214	"[1.6091E-3, 7.0123]"	0.5337	"[5.3358E-3, 2.8208]"	1.93E+05	183.9	3550
Spain	Italy	1.4414	0.0362	0.6709	0.4501	1.3137	"[0.1857, 5.1292]"	1.2945	"[0.4017, 2.8009]"	1.03E+05	343.5	3550
Wales	Italy	1.0487	0.0778	1.0114	1.023	0.7402	"[6.2751E-3, 7.5806]"	0.6258	"[7.3111E-3, 2.9723]"	2.10E+05	169.1	3550
Leningrad_region	Jersey	1.021	0.1019	1.0312	1.0633	0.6989	"[1.7505E-3, 7.3217]"	0.5614	"[1.7505E-3, 3.0182]"	3.47E+05	102.4	3550
Luxembourg	Jersey	0.9484	0.0844	1.0379	1.0772	0.6457	"[8.2248E-3, 8.9194]"	0.5425	"[8.2248E-3, 2.9202]"	2.35E+05	151.2	3550
Netherlands	Jersey	0.9619	0.0931	0.9609	0.9233	0.624	"[8.5332E-3, 7.2512]"	0.552	"[8.5332E-3, 2.9047]"	3.33E+05	106.5	3550
Poland	Jersey	0.8749	0.0783	0.9605	0.9226	0.5232	"[2.0024E-3, 8.0588]"	0.4238	"[2.0024E-3, 2.6497]"	2.36E+05	150.5	3550
Scotland	Jersey	0.9511	0.078	0.9537	0.9096	0.6873	"[8.8108E-4, 11.1513]"	0.5548	"[8.8108E-4, 2.9185]"	2.37E+05	149.6	3550
Spain	Jersey	1.006	0.0853	0.9266	0.8585	0.7324	"[3.7186E-4, 9.4841]"	0.5207	"[3.7186E-4, 2.897]"	3.01E+05	117.9	3550
Wales	Jersey	0.9612	0.0768	0.9798	0.96	0.6618	"[0.0115, 7.1135]"	0.5525	"[0.0115, 2.8148]"	2.18E+05	162.8	3550
Luxembourg	Leningrad_region	0.9221	0.0947	1.0045	1.009	0.6081	"[2.5229E-3, 7.7919]"	0.5216	"[2.5229E-3, 2.9859]"	3.16E+05	112.4	3550
Netherlands	Leningrad_region	0.9582	0.0832	1.0138	1.0277	0.6596	"[2.4432E-3, 9.1266]"	0.4846	"[2.4432E-3, 2.9758]"	2.39E+05	148.4	3550
Poland	Leningrad_region	1.0815	0.0695	0.9415	0.8865	0.8025	"[9.3008E-3, 6.6251]"	0.7029	"[9.3008E-3, 2.7562]"	1.93E+05	183.5	3550
Scotland	Leningrad_region	0.9566	0.0874	0.922	0.8501	0.6966	"[3.2809E-3, 9.4705]"	0.5175	"[3.2809E-3, 2.7919]"	3.19E+05	111.3	3550
Spain	Leningrad_region	1.1223	0.0741	1.0175	1.0352	0.7862	"[0.0113, 7.5732]"	0.6905	"[0.0113, 3.1932]"	1.89E+05	188.2	3550
Wales	Leningrad_region	0.9839	0.0745	0.9935	0.9871	0.6638	"[3.4433E-3, 8.8216]"	0.5905	"[9.1254E-3, 3.0912]"	2.00E+05	177.8	3550
Netherlands	Luxembourg	0.969	0.0843	0.9568	0.9154	0.7308	"[5.8466E-4, 10.0185]"	0.5165	"[8.5086E-4, 2.785]"	2.76E+05	128.7	3550
Poland	Luxembourg	0.931	0.0864	0.8934	0.7982	0.6438	"[3.4387E-5, 6.6764]"	0.5252	"[3.4387E-5, 2.7789]"	3.32E+05	106.9	3550
Scotland	Luxembourg	0.976	0.0805	1.0055	1.011	0.6625	"[1.5405E-3, 6.9174]"	0.5409	"[1.5405E-3, 2.7707]"	2.28E+05	156	3550
Spain	Luxembourg	1.0921	0.0951	1.0464	1.095	0.7889	"[4.0143E-3, 9.4814]"	0.6193	"[4.0143E-3, 3.0869]"	2.93E+05	121.1	3550
Wales	Luxembourg	1.0151	0.0732	1.0167	1.0336	0.6904	"[7.2836E-3, 6.5446]"	0.5647	"[0.0164, 3.1254]"	1.84E+05	192.7	3550
