from	to	mean	stderr of mean	stdev	variance	median	value range	geometric mean	95% HPD interval	auto-correlation time (ACT)	effective sample size (ESS)	number of samples
Jersey	Denmark	0.9609	0.0918	0.9315	0.8677	0.6613	"[3.5343E-3, 6.7764]"	0.5643	"[3.5343E-3, 2.9528]"	3.45E+05	103	3550
Leningrad_region	Denmark	0.887	0.0725	0.9523	0.9069	0.5757	"[8.7035E-3, 7.6768]"	0.4829	"[8.7035E-3, 2.7407]"	2.06E+05	172.3	3550
Luxembourg	Denmark	0.7321	0.0569	0.7978	0.6365	0.5049	"[1.5846E-3, 6.6808]"	0.395	"[1.5846E-3, 2.1999]"	1.80E+05	196.8	3550
Netherlands	Denmark	0.7128	0.1091	0.9116	0.831	0.321	"[4.3723E-3, 6.5956]"	0.3331	"[4.8974E-3, 2.5962]"	5.09E+05	69.8	3550
Poland	Denmark	0.9267	0.0665	0.8778	0.7705	0.6704	"[3.4935E-3, 6.9582]"	0.596	"[3.4935E-3, 2.6916]"	2.04E+05	174.2	3550
Scotland	Denmark	0.9923	0.0879	0.9906	0.9814	0.6717	"[2.1915E-3, 6.6328]"	0.5851	"[0.0106, 3.178]"	2.80E+05	127	3550
Spain	Denmark	0.951	0.1191	1.0522	1.1071	0.5745	"[3.6958E-4, 7.2488]"	0.4347	"[3.7751E-4, 3.0974]"	4.55E+05	78.1	3550
Wales	Denmark	0.884	0.0677	0.8191	0.6709	0.6425	"[7.7069E-3, 6.2287]"	0.5475	"[0.0149, 2.6612]"	2.43E+05	146.4	3550
Finland	England	0.8255	0.0753	0.915	0.8372	0.5147	"[2.0913E-3, 8.0536]"	0.4411	"[2.0913E-3, 2.667]"	2.41E+05	147.5	3550
France	England	1.041	0.0988	0.9628	0.927	0.7486	"[6.767E-3, 7.3224]"	0.6145	"[0.0144, 2.785]"	3.74E+05	94.9	3550
Gambia	England	1.0277	0.0738	0.982	0.9644	0.7502	"[8.5115E-3, 8.0524]"	0.634	"[8.5115E-3, 2.8415]"	2.00E+05	177.2	3550
Germany	England	0.778	0.0687	0.8294	0.688	0.4943	"[1.7246E-3, 7.0703]"	0.4145	"[1.7246E-3, 2.4556]"	2.44E+05	145.6	3550
Isle_of_Man	England	0.874	0.0819	0.8707	0.7582	0.5907	"[5.3335E-4, 5.9417]"	0.4721	"[7.134E-4, 2.7465]"	3.14E+05	113.1	3550
Italy	England	0.8681	0.0739	0.8413	0.7078	0.6248	"[2.0513E-4, 7.9727]"	0.4926	"[5.6768E-4, 2.3798]"	2.74E+05	129.6	3550
Jersey	England	0.7555	0.0756	0.8266	0.6833	0.4687	"[4.6347E-3, 6.0401]"	0.3889	"[4.6347E-3, 2.5251]"	2.97E+05	119.6	3550
Leningrad_region	England	0.9986	0.0879	1.0019	1.0038	0.7205	"[3.1361E-3, 6.5964]"	0.5456	"[3.1361E-3, 2.8631]"	2.73E+05	129.9	3550
Luxembourg	England	0.9827	0.0776	0.9285	0.862	0.7135	"[4.8929E-4, 6.771]"	0.5628	"[4.8929E-4, 2.8361]"	2.48E+05	143.1	3550
Netherlands	England	0.6386	0.0382	0.5139	0.2641	0.5129	"[6.6236E-3, 5.4212]"	0.4894	"[0.011, 1.454]"	1.96E+05	181.2	3550
Poland	England	1.1395	0.1165	1.1365	1.2915	0.7619	"[6.7539E-3, 9.0637]"	0.6462	"[7.4986E-3, 3.8004]"	3.73E+05	95.1	3550
Scotland	England	0.7869	0.0454	0.6219	0.3868	0.6178	"[4.6926E-3, 5.358]"	0.5594	"[7.8362E-3, 1.9573]"	1.90E+05	187.3	3550
Spain	England	1.0855	0.0798	1.049	1.1004	0.8137	"[3.6838E-3, 7.5088]"	0.6262	"[3.6838E-3, 3.2902]"	2.05E+05	172.8	3550
Wales	England	0.9549	0.0693	0.9616	0.9248	0.6921	"[8.0369E-3, 9.535]"	0.5622	"[0.0131, 2.8374]"	1.84E+05	192.6	3550
France	Finland	1.0452	0.077	1.0511	1.1048	0.694	"[0.0142, 8.611]"	0.6311	"[0.0317, 3.4084]"	1.91E+05	186.3	3550
Gambia	Finland	0.9334	0.0907	0.916	0.8391	0.6491	"[4.2146E-4, 7.5394]"	0.5298	"[4.2146E-4, 2.7998]"	3.48E+05	102	3550
Germany	Finland	0.9759	0.0752	0.9732	0.9472	0.6761	"[0.0119, 7.6518]"	0.5613	"[0.0119, 2.7583]"	2.12E+05	167.6	3550
Isle_of_Man	Finland	1.1472	0.0911	1.0645	1.1331	0.8348	"[2.2237E-3, 6.4924]"	0.6317	"[2.5671E-3, 3.3821]"	2.60E+05	136.5	3550
Italy	Finland	1.0131	0.1067	1.0901	1.1882	0.6635	"[1.6672E-3, 9.0804]"	0.5143	"[1.6672E-3, 3.1321]"	3.40E+05	104.3	3550
Jersey	Finland	0.9414	0.0726	0.9328	0.8701	0.6852	"[1.6428E-3, 7.501]"	0.5299	"[1.8154E-3, 2.9074]"	2.15E+05	165	3550
Leningrad_region	Finland	0.8541	0.0699	0.9922	0.9845	0.5605	"[2.4485E-4, 10.901]"	0.3974	"[4.1555E-4, 2.726]"	1.76E+05	201.6	3550
Luxembourg	Finland	0.9813	0.0704	0.9484	0.8994	0.7139	"[9.2138E-3, 6.9789]"	0.6261	"[0.0181, 2.9775]"	1.96E+05	181.4	3550
Netherlands	Finland	0.927	0.0668	0.9581	0.9179	0.651	"[5.8439E-4, 8.748]"	0.5291	"[6.2917E-4, 2.6729]"	1.73E+05	205.4	3550
Poland	Finland	0.8583	0.0489	0.6773	0.4587	0.6882	"[4.7253E-4, 5.9031]"	0.5971	"[4.7253E-4, 2.0671]"	1.85E+05	192.1	3550
Scotland	Finland	0.9222	0.0769	0.8233	0.6778	0.73	"[7.6764E-3, 6.1968]"	0.5594	"[8.1353E-3, 2.7465]"	3.10E+05	114.4	3550
Spain	Finland	0.9762	0.0873	1.0496	1.1017	0.6025	"[2.5083E-3, 8.6569]"	0.4776	"[2.5083E-3, 3.1533]"	2.46E+05	144.5	3550
