Groups	Time	GC
annotated	2006.162	43.0343
annotated	1991	43.1756
annotated	1992	43.1363
annotated	1990	43.3482
annotated	1988	43.4032
annotated	1988	43.3875
annotated	1988	43.4267
annotated	1986	43.4503
annotated	1987	43.5445
annotated	1987	43.5366
annotated	1986	43.6073
annotated	1986	43.6151
annotated	1986	43.6779
annotated	1986	43.6308
annotated	1981	43.8506
annotated	1981	43.8506
annotated	1981	43.882
annotated	1981	43.8584
annotated	1981	43.8506
annotated	1981	43.7485
annotated	1981	43.7407
annotated	1976	43.7485
annotated	1976	43.7485
annotated	1983	44.3215
annotated	1918	44.719
annotated	1933.025	44.0794
annotated	1933.414	44.0794
annotated	1932	44.0637
annotated	1932	44.0268
annotated	1933	43.9953
annotated	1933	43.9795
annotated	1935	44.0038
annotated	1945	43.6622
annotated	1948	43.8559
annotated	1943	43.8601
annotated	1943	43.827
annotated	1947	43.606
annotated	1947	43.6114
annotated	1954	43.3373
annotated	1954	43.3294
annotated	1954	43.3216
annotated	1951	43.4963
annotated	1951	43.4939
annotated	1951	43.5096
annotated	1951	43.4861
annotated	1951	43.4783
annotated	1957	43.4885
annotated	1957	43.5198
annotated	1957	43.465
annotated	1953	42.2049
annotated	1954	43.4101
annotated	1950	43.5174
annotated	1950	43.5174
annotated	1946	43.5903
annotated	1939	43.5903
annotated	1940	43.5903
annotated	1946	43.4875
annotated	1948	43.8522
annotated	1942	43.6857
annotated	1942	43.6857
annotated	1934	44.103
annotated	1935	44.103
annotated	1946	44.0637
annotated	1946	44.0637
annotated	1935	43.9447
annotated	1936	43.8113
annotated	1934	43.7854
annotated	1934	43.8012
annotated	1934	43.7224
annotated	1934	43.7224
annotated	1993	43.2282
annotated	1995.578	43.1026
annotated	1996	43.0948
annotated	1991	43.2988
annotated	2014.871	43.2596
annotated	2014.83	43.2753
annotated	2014.83	43.2988
annotated	2014.964	43.2596
annotated	2014.964	43.2596
annotated	2014.964	43.2596
annotated	2014.964	43.2596
annotated	2014.964	43.2596
annotated	2014.964	43.3067
annotated	2014.964	43.3067
annotated	2014.964	43.2988
annotated	2014.964	43.3067
annotated	2014.964	43.3067
annotated	2014.926	43.2596
annotated	2014.926	43.2596
annotated	2014.926	43.2596
annotated	2014.926	43.2596
annotated	2014.926	43.2596
annotated	2014.926	43.291
annotated	2014.926	43.3145
annotated	2014.926	43.2988
annotated	2014.926	43.2988
annotated	2014.926	43.3145
annotated	2014.871	43.2596
annotated	2014.871	43.2517
annotated	2014.871	43.2753
annotated	2014.871	43.3067
annotated	2014.871	43.3067
annotated	2014.871	43.3067
annotated	2014.871	43.3223
annotated	2014.871	43.3067
annotated	2014.83	43.3067
annotated	2014.83	43.3067
annotated	2014.83	43.3067
annotated	2014.83	43.3067
annotated	2014.83	43.3145
annotated	2014.83	43.3067
annotated	2014.83	43.3067
annotated	2014.83	43.2988
annotated	2014.8	43.3067
annotated	2014.8	43.3067
annotated	2014.8	43.3067
annotated	2014.8	43.3067
annotated	2014.8	43.3067
annotated	2014.8	43.3067
annotated	2014.8	43.3067
annotated	2014.8	43.3067
annotated	2014.8	43.291
annotated	2014.8	43.3067
annotated	2014	43.3067
annotated	2014.871	43.2988
annotated	1986	43.1492
annotated	1987	43.0631
annotated	1986	43.0631
annotated	1987	43.1257
annotated	1987	43.0631
annotated	1986	43.0552
annotated	1986	43.1022
annotated	1989.003	43.3686
annotated	1987	43.1884
annotated	1986	43.1492
annotated	1986	43.1571
annotated	1980	43.3294
annotated	1980	43.3137
annotated	1981	43.3451
annotated	1983	43.2589
annotated	1983	43.2746
annotated	1983	43.2197
annotated	1982	43.2119
annotated	1982	43.1986
annotated	1983	43.1962
annotated	1980	43.3764
annotated	1978	43.3608
annotated	1978	43.3843
annotated	1978	43.3999
annotated	1978	43.4234
annotated	1977	43.4391
annotated	1978	43.4313
annotated	1977	43.4704
annotated	1978	43.4313
annotated	1978	43.4469
annotated	1978	43.4469
annotated	1978	43.4548
annotated	1978	43.4234
annotated	1977	43.4469
annotated	1977	43.4469
annotated	1977	43.4469
annotated	1977	43.4626
annotated	1978	43.4313
annotated	1977	43.3655
annotated	1951	43.5849
annotated	1949	43.5253
annotated	1949	43.5253
annotated	1948	43.5331
annotated	1950	43.5488
annotated	1983	43.2667
annotated	1983	43.2981
annotated	1983	43.2589
annotated	1983	43.2589
annotated	1983	43.2667
annotated	1983	43.2432
annotated	1983	43.2276
annotated	1983	43.2432
annotated	1983	43.2432
annotated	1983	43.2354
annotated	1983	43.2276
annotated	1983	43.2276
annotated	1983	43.2354
annotated	1983	43.2197
annotated	1983	43.2354
annotated	1983	43.2511
annotated	1983	43.2612
annotated	1983	43.2354
annotated	1983	43.2432
annotated	1983	43.2354
annotated	1983	43.2354
annotated	1983	43.2354
annotated	1983	43.2589
annotated	1983	43.2354
annotated	1983	43.2197
annotated	1983	43.2276
annotated	1983	43.2432
annotated	1983	43.2276
annotated	1983	43.2354
annotated	1983	43.2276
annotated	1983	43.2354
annotated	1983	43.2197
annotated	1983	43.2511
annotated	1983	43.2276
annotated	1983	43.2354
annotated	1983	43.2197
annotated	1983	43.2041
annotated	1983	43.2432
annotated	1983	43.2197
annotated	1983	43.2041
annotated	1983	43.2581
annotated	1983	43.2511
annotated	1983	43.2041
annotated	1983	43.2354
annotated	1983	43.3529
annotated	1982	43.3216
annotated	1984	43.3184
annotated	1984	43.3373
annotated	1989.005	43.1884
annotated	1991.551	43.2596
annotated	1996	43.1733
annotated	1995	43.2988
annotated	1995.964	43.2282
annotated	1995.942	43.2439
annotated	1996	43.2046
annotated	1996.019	43.1991
annotated	1996	43.2517
annotated	1996.003	43.2596
annotated	1995.953	43.236
annotated	1995.929	43.2753
annotated	1995.874	43.2753
annotated	1995.907	43.2822
annotated	1996	43.2753
annotated	1996	43.2831
annotated	1996	43.2674
annotated	1996	43.2753
annotated	1995.948	43.236
annotated	1995.871	43.2517
annotated	1995.332	43.3067
annotated	1996.003	43.2046
annotated	1995.934	43.2439
annotated	1995.945	43.2517
annotated	1995.962	43.2203
annotated	1995.918	43.1968
annotated	1995.986	43.2125
annotated	1995.989	43.2305
annotated	1996.104	43.2046
annotated	1995.953	43.2753
annotated	1995	43.2439
annotated	1996	43.291
annotated	1996	43.291
annotated	1996	43.2674
annotated	1995.923	43.2988
annotated	1996	43.2831
annotated	1996	43.2674
annotated	1995.975	43.2596
annotated	1995	43.2125
annotated	1995.986	43.2674
annotated	1995.942	43.236
annotated	1995.912	43.2753
annotated	1995.951	43.2282
annotated	1998	43.1419
annotated	2000	43.2439
annotated	2000	43.1968
annotated	2000	43.2046
annotated	2000	43.2046
annotated	2000	43.1733
annotated	2000	43.2125
annotated	2000	43.1811
annotated	2000	43.1968
annotated	2000	43.189
annotated	2000	43.2046
annotated	2000	43.189
annotated	2000.279	43.2125
annotated	2001.022	43.2148
annotated	2000	43.1811
annotated	2000	43.1576
annotated	2000	43.2203
annotated	2000	43.2203
annotated	2000	43.2282
annotated	2000	43.189
annotated	1992	43.2203
annotated	2001.022	42.9558
annotated	2001.584	42.9401
annotated	2001.518	42.9558
annotated	2001.353	42.948
annotated	2001.058	42.9637
annotated	2002.926	42.9087
annotated	2003.937	42.9558
annotated	2003.937	42.9558
annotated	2003.811	42.9558
annotated	2003.723	42.948
annotated	2003.696	42.948
annotated	2003.515	42.9558
annotated	2003.068	42.9558
annotated	2003.973	42.9558
annotated	2003.964	42.948
annotated	2003.923	42.948
annotated	2003.819	42.9558
annotated	2003.789	42.948
annotated	2003.773	42.9558
annotated	2003.715	42.9558
annotated	2003	42.9558
annotated	2003	42.948
annotated	2003	42.9558
annotated	2003	42.9558
annotated	2001	42.9323
annotated	2002.97	42.8818
annotated	2003.153	42.9391
annotated	2001	42.9794
annotated	2000	43.0029
annotated	2000.112	42.9872
annotated	2000	42.9872
annotated	2000.68	42.9323
annotated	2000.587	42.9323
annotated	2000.828	42.9401
annotated	2000.623	42.9558
annotated	2000.68	42.9558
annotated	2000.669	42.948
annotated	2000.639	42.9637
