FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Germany	Poland	0.8647737315085849	0.047619047619047616
Germany	Scotland	0.7792539161360292	0.043112897332846185
Germany	Spain	1.239260711558896	0.06686152721958348
Germany	Wales	0.8485322930862311	0.046766532700036535
Isle_of_Man	Italy	0.9769317244783036	0.053464864206552186
Isle_of_Man	Jersey	1.0146262192790256	0.05541346973572037
Isle_of_Man	Leningrad_region	1.2441000680449874	0.0671051029107295
Isle_of_Man	Luxembourg	1.6068469708318707	0.08500791620996224
Isle_of_Man	Netherlands	1.2344238808329744	0.06661795152843746
Isle_of_Man	Poland	1.2950663029792133	0.06966264766776276
Isle_of_Man	Scotland	1.6043313570973747	0.08488612836438923
Isle_of_Man	Spain	0.8903548215301603	0.04895871392035075
Isle_of_Man	Wales	2.3630444988897374	0.12020460358056266
Italy	Jersey	0.3327704279638298	0.01887711606381683
Italy	Leningrad_region	0.3174662340649152	0.01802460114480575
Italy	Luxembourg	0.4251570379515628	0.023992205577883327
Italy	Netherlands	0.34590949260343395	0.0196078431372549
Italy	Poland	0.5476139724592622	0.030690537084398978
Italy	Scotland	0.27823434004731107	0.015832419924491536
Italy	Spain	0.20029254838439567	0.01144805748386311
Italy	Wales	0.48283560872912973	0.027158689562781634
Jersey	Leningrad_region	1.3194345569222607	0.07088052612349288
Jersey	Luxembourg	2.1131822221365995	0.10887833394227256
Jersey	Netherlands	1.4546101583600963	0.07757885763000852
Jersey	Poland	0.9722308224061014	0.05322128851540616
Jersey	Scotland	0.8578095559895972	0.047253684082328586
Jersey	Spain	1.5967885317732018	0.0845207648276702
Jersey	Wales	1.1501861294516051	0.06235537693338205
Leningrad_region	Luxembourg	3.3880590413022036	0.16380465229570088
Leningrad_region	Netherlands	0.7930672356211708	0.043843624406284254
Leningrad_region	Poland	1.1071613926791264	0.06016319571306784
Leningrad_region	Scotland	0.9604891425934147	0.052612349287541105
Leningrad_region	Spain	0.9839876157209281	0.053830227743271224
Leningrad_region	Wales	1.0952456739386116	0.059554256485202774
Luxembourg	Netherlands	0.9136729770009923	0.05017659237608087
Luxembourg	Poland	1.0051880229648757	0.05492631835342833
Luxembourg	Scotland	1.10477701382154	0.060041407867494824
Luxembourg	Spain	1.1477905890932125	0.06223358908780904
Luxembourg	Wales	0.9816350465773126	0.05370843989769821
Netherlands	Poland	70989.27561955545	0.999756424308854
Netherlands	Scotland	0.11236334339287815	0.006454755815369626
Netherlands	Spain	1.8566686184243657	0.09694312507611741
Netherlands	Wales	0.12090287636985365	0.006941907197661673
Poland	Scotland	0.2825848064342944	0.01607599561563756
Poland	Spain	0.4739375555565067	0.026671538180489587
Poland	Wales	0.3043694878528171	0.017293874071367676
Scotland	Spain	0.6899790410972751	0.03836317135549872
Scotland	Wales	0.5858074383676891	0.03276093045914018
Spain	Wales	4.824952501968459	0.21812203142126416
Belgium	Austria	8.150349091086106	0.32030203385702105
Czech_Republic	Austria	141995.84671367638	1.0
Denmark	Austria	1.10477701382154	0.060041407867494824
England	Austria	0.21539370377895703	0.012300572402874193
