family,GC
Anatidae,45.04950495
Anatidae,45.00235738
Anatidae,45.03378909
Anatidae,45.01021531
Anatidae,44.77963705
Anatidae,44.77963705
Anatidae,44.60160302
Anatidae,44.7639249
Anatidae,45.19880559
Anatidae,44.98190971
Anatidae,45.33227218
Anatidae,44.88176605
Anatidae,44.77447745
Anatidae,45.19094767
Anatidae,44.81891743
Anatidae,44.84248566
Anatidae,45.02317543
Anatidae,44.99175112
Anatidae,44.91319035
Anatidae,44.81106136
Anatidae,44.81106136
Anatidae,44.7639249
Anatidae,45.12530442
Anatidae,45.10451045
Anatidae,45.05459973
Anatidae,44.88962212
Anatidae,44.92104643
Anatidae,44.74821274
Anatidae,45.12530442
Anatidae,45.07307874
Anatidae,44.8711907
Anatidae,44.7953492
Anatidae,44.92104643
Anatidae,44.83734088
Anatidae,44.82948295
Anatidae,44.94461466
Anatidae,44.96818289
Anatidae,45.15672873
Anatidae,44.87390997
Anatidae,45.10959227
Anatidae,45.11744835
Anatidae,45.00235738
Anatidae,45.1331605
Anatidae,45.0310315
Anatidae,44.9996072
Anatidae,44.90806223
Anatidae,44.92890251
Anatidae,44.84248566
Anatidae,45.25100165
Anatidae,45.21172127
Anatidae,45.21957734
Anatidae,45.32170634
Anatidae,45.10127179
Anatidae,45.40600845
Anatidae,45.37922243
Anatidae,45.18029696
Anatidae,45.18029696
Anatidae,45.17244088
Anatidae,45.40812318
Anatidae,45.18815304
Anatidae,44.81106136
Anatidae,44.80320528
Anatidae,44.81891743
Anatidae,44.81891743
Anatidae,44.7953492
Anatidae,44.7953492
Anatidae,44.80320528
Anatidae,45.16458481
Anatidae,45.18029696
Anatidae,45.18815304
Anatidae,45.18815304
Anatidae,45.16458481
Anatidae,45.17244088
Anatidae,45.18029696
Anatidae,45.18815304
Anatidae,45.18815304
Anatidae,45.30599419
Anatidae,45.18815304
Anatidae,45.18815304
Anatidae,45.18029696
Anatidae,45.32956242
Anatidae,45.18815304
Anatidae,45.18815304
Anatidae,45.18815304
Anatidae,45.17244088
Anatidae,45.25100165
Anatidae,45.37669888
Anatidae,45.38455495
