Group,GenomicGC,Label
AvH91,45.16965127,Av
AvH91,45.10681747,Av
AvH91,45.05969211,Av
AvH91,44.99411072,Av
AvH91,45.26390198,Av
AvH91,45.18029696,Av
AvH91,45.18029696,Av
AvH91,45.18029696,Av
AvH91,45.01610243,Av
AvH91,45.06754634,Av
AvH91,45.06754634,Av
AvH91,45.07816796,Av
AvH91,44.94973296,Av
AvH91,45.3688428,Av
AvH91,45.29813811,Av
AvH91,44.94187873,Av
AvH91,45.16027656,Av
AvH91,45.07816796,Av
AvH91,45.11744835,Av
AvH91,45.10404397,Av
AvH91,44.64341816,Av
AvH91,44.64341816,Av
AvH91,45.08629522,Av
AvH91,45.08602404,Av
AvH91,45.07816796,Av
AvH91,44.92890251,Av
AvH91,44.78315525,Av
AvH91,44.78749313,Av
AvH91,45.08602404,Av
AvH91,45.08602404,Av
AvH91,44.67750805,Av
AvH91,45.01021531,Av
AvH91,45.09388012,Av
AvH91,44.87390997,Av
AvH91,44.63037159,Av
AvH91,44.63037159,Av
AvH91,45.04674366,Av
AvH91,45.05122143,Av
AvH91,45.23299198,Av
AvH91,44.76804329,Av
AvH91,44.85819782,Av
AvH91,44.84248566,Av
AvH91,44.7639249,Av
AvH91,45.08602404,Av
AvH91,45.0484519,Av
AvH91,45.08602404,Av
AvH91,45.10959227,Av
AvH91,45.10959227,Av
AvH91,45.07031189,Av
AvH91,45.08602404,Av
AvH91,45.09388012,Av
AvH91,45.08602404,Av
AvH91,45.08602404,Av
AvH91,45.10959227,Av
AvH91,45.06245581,Av
AvH91,45.07031189,Av
AvH91,45.06245581,Av
AvH91,45.08602404,Av
AvH91,45.10959227,Av
AvH91,45.09388012,Av
AvH91,45.10959227,Av
AvH91,45.09388012,Av
AvH91,45.10173619,Av
AvH91,45.07031189,Av
AvH91,45.07816796,Av
AvH91,45.07816796,Av
AvH91,45.10173619,Av
AvH91,45.10173619,Av
AvH91,45.10173619,Av
AvH91,45.10173619,Av
AvH91,45.07816796,Av
AvH91,45.07031189,Av
AvH91,45.05459973,Av
AvH91,45.07816796,Av
AvH91,45.08602404,Av
AvH91,45.08602404,Av
AvH91,45.07031189,Av
AvH91,45.07031189,Av
AvH91,45.12530442,Av
AvH91,45.11147877,Av
AvH91,45.12530442,Av
AvH91,45.11744835,Av
AvH91,45.11744835,Av
AvH91,45.10959227,Av
AvH91,45.10173619,Av
AvH91,45.11744835,Av
AvH91,45.10959227,Av
AvH91,45.09388012,Av
AvH91,45.11744835,Av
AvH91,45.11744835,Av
AvH91,45.1331605,Av
AvH91,45.12530442,Av
AvH91,45.10173619,Av
AvH91,45.07031189,Av
AvH91,45.1331605,Av
AvH91,45.11147877,Av
AvH91,45.10959227,Av
AvH91,45.10959227,Av
AvH91,45.10173619,Av
AvH91,45.10173619,Av
AvH91,45.11744835,Av
AvH91,45.09388012,Av
AvH91,45.09388012,Av
AvH91,45.02593116,Av
AvH91,45.10959227,Av
AvH91,45.11744835,Av
AvH91,44.70893236,Av
AvH91,44.84248566,Av
AvH91,44.73250059,Av
AvH91,44.77963705,Av
AvH91,44.7639249,Av
AvH91,45.14101658,Av
AvH91,44.88151659,Av
AvH91,45.03888758,Av
AvH91,45.02317543,Av
AvH91,45.02317543,Av
AvH91,45.02317543,Av
AvH91,45.00746327,Av
AvH91,45.01531935,Av
AvH91,45.02317543,Av
AvH91,45.10959227,Av
AvH91,45.01531935,Av
AvH91,45.18815304,Av
AvH91,45.04674366,Av
AvH91,44.74035667,Av
AvH91,44.90847135,Av
AvH91,44.86298665,Av
AvH91,44.70962609,Av
AvH91,44.66984885,Av
AvH91,44.38158102,Av
AvH91,44.80320528,Av
AvH91,44.78749313,Av
AvH91,44.6459825,Av
AvH91,44.93163602,Av
AvH91,44.977582,Av
AvH91,44.74035667,Av
AvH91,44.74035667,Av
AvH91,44.75606882,Av
AvH91,45.15158711,Av
AvH91,45.07164912,Av
AvH91,44.98664152,Av
AvH91,44.70375609,Av
AvH91,44.92024829,Av
AvH91,44.56743602,Av
AvH91,44.5909876,Av
AvH91,44.72845995,Av
AvH91,44.6949393,Av
AvH91,44.81891743,Av
AvH91,44.7953492,Av
AvH91,44.54228145,Av
AvH91,44.43920829,Av
AvH91,44.60680336,Av
AvH91,44.56581532,Av
AvH91,44.59109121,Av
AvH91,44.58296469,Av
AvH91,44.48373409,Av
AvH91,44.41301273,Av
AvH91,44.31871759,Av
AvH91,44.20870658,Av
AvH91,44.14145383,Av
AvH91,44.13798523,Av
AvH91,44.04369008,Av
AvH91,44.13798523,Av
AvH91,44.1301273,Av
AvH91,44.1301273,Av
AvH91,44.12920465,Av
AvH91,44.13798523,Av
AvH91,45.07584878,Av
AvH91,44.7953492,Av
AvH91,44.94302554,Av
AvH91,45.27974783,Av
AvH91,45.25885773,Av
AvH91,44.95247074,Av
AvH91,45.40812318,Av
AvH91,45.0310315,Av
AvH91,44.85819782,Av
