EPI_ISL_13488|Human|H5N1|2006.351|Asia|,2006.351,-468.4,47.7531857813548,1491,1491,47.2837022132797,47.9879275653924
EPI_ISL_13487|Human|H5N1|2006.14|Asia|,2006.14,-461.5,47.6767676767677,1485,1485,46.6666666666667,48.1818181818182
EPI_ISL_13485|Human|H5N1|2006|Asia|,2006,-466.6,47.4564926372155,1494,1494,46.3855421686747,47.9919678714859
EPI_ISL_13484|Human|H5N1|2006.079|Asia|,2006.079,-451.9,47.7366255144033,1458,1458,46.2962962962963,48.4567901234568
EPI_ISL_13483|Human|H5N1|2006.09|Asia|,2006.09,-460.4,47.551978537894,1491,1491,46.4788732394366,48.0885311871227
EPI_ISL_13479|Human|H5N1|2005|Asia|,2005,-459.6,47.5420875420875,1485,1485,46.4646464646465,48.0808080808081
EPI_ISL_13478|Human|H5N1|2005|Asia|,2005,-458.1,47.3684210526316,1482,1482,45.9514170040486,48.0769230769231
EPI_ISL_13475|Human|H5N1|2005.86|Asia|,2005.86,-455.4,47.5033738191633,1482,1482,46.5587044534413,47.9757085020243
EPI_ISL_13474|Human|H5N1|2005|Asia|,2005,-468.4,47.9166666666667,1488,1488,47.5806451612903,48.0846774193548
EPI_ISL_13472|Human|H5N1|2005|Asia|,2005,-449.2,47.599451303155,1458,1458,46.0905349794239,48.3539094650206
EPI_ISL_16357|Human|H5N1|2007|Asia|,2007,-463.6,47.5234270414993,1494,1494,46.9879518072289,47.7911646586345
EPI_ISL_16356|Human|H5N1|2007|Asia|,2007,-463.6,47.5234270414993,1494,1494,46.9879518072289,47.7911646586345
EPI_ISL_16254|Feline|H5N1|2005|Asia|,2005,-470.6,47.9919678714859,1494,1494,47.9919678714859,47.9919678714859
EPI_ISL_11485|Human|H5N1|2004|Asia|,2004,-469,48.0589022757697,1494,1494,47.9919678714859,48.0923694779116
EPI_ISL_24602|Human|H5N1|2008.35|Asia|,2008.35,-462.3,47.1887550200803,1494,1494,45.5823293172691,47.9919678714859
EPI_ISL_23815|Human|H5N1|2008.041|Asia|,2008.041,-468.5,47.1887550200803,1494,1494,45.9839357429719,47.7911646586345
EPI_ISL_24609|Human|H5N1|2005.94|Asia|,2005.94,-468,47.6572958500669,1494,1494,47.1887550200803,47.8915662650602
EPI_ISL_24608|Human|H5N1|2005.91|Asia|,2005.91,-466.8,47.5903614457831,1494,1494,46.7871485943775,47.9919678714859
EPI_ISL_24607|Human|H5N1|2005.945|Asia|,2005.945,-456.9,47.1218206157965,1494,1494,46.1847389558233,47.5903614457831
EPI_ISL_24606|Human|H5N1|2005.877|Asia|,2005.877,-465.2,47.5234270414993,1494,1494,46.7871485943775,47.8915662650602
EPI_ISL_24605|Human|H5N1|2006.044|Asia|,2006.044,-478.3,47.6572958500669,1494,1494,46.9879518072289,47.9919678714859
EPI_ISL_24604|Human|H5N1|2006.027|Asia|,2006.027,-470.5,47.3226238286479,1494,1494,46.3855421686747,47.7911646586345
EPI_ISL_24603|Human|H5N1|2005.852|Asia|,2005.852,-461.2,47.6572958500669,1494,1494,47.3895582329317,47.7911646586345
EPI_ISL_24753|Human|H5N1|2008|Asia|,2008,-463.9,47.1218206157965,1494,1494,45.9839357429719,47.6907630522088
EPI_ISL_24752|Human|H5N1|2008|Asia|,2008,-466.6,47.1887550200803,1494,1494,45.5823293172691,47.9919678714859
EPI_ISL_13243|Ferret|H5N1|2006.216|Europe|,2006.216,-455,47.5234270414993,1494,1494,46.9879518072289,47.7911646586345
EPI_ISL_62768|Human|H5N1|2008.086|Asia|,2008.086,-455.1,47.8580990629183,1494,1494,47.3895582329317,48.0923694779116
EPI_ISL_64676|Human|H5N1|2005.853|Asia|,2005.853,-464.2,48.0431848852901,1482,1482,47.5708502024291,48.2793522267206
EPI_ISL_64276|Human|H5N1|2006.606|Asia|,2006.606,-468.3,47.8580990629183,1494,1494,47.5903614457831,47.9919678714859
EPI_ISL_64227|Human|H5N1|2006|Asia|,2006,-462.4,47.3895582329317,1494,1494,46.7871485943775,47.6907630522088
EPI_ISL_65327|Swine|H5N1|2004|Asia|,2004,-456.8,46.9879518072289,1494,1494,44.9799196787149,47.9919678714859
EPI_ISL_65326|Swine|H5N1|2004|Asia|,2004,-468.3,47.8580990629183,1494,1494,47.5903614457831,47.9919678714859
EPI_ISL_65197|Feline|H5N1|2004|Asia|,2004,-468.7,48.110661268556,1482,1482,47.7732793522267,48.2793522267206
EPI_ISL_65196|Feline|H5N1|2004|Asia|,2004,-470.6,48.1781376518219,1482,1482,47.7732793522267,48.3805668016194
EPI_ISL_64915|Canine|H5N1|2005|Asia|,2005,-469.1,47.8580990629183,1494,1494,47.7911646586345,47.8915662650602
EPI_ISL_64914|Canine|H5N1|2005|Asia|,2005,-471.2,47.9250334672021,1494,1494,47.9919678714859,47.8915662650602
EPI_ISL_67419|Swine|H5N1|2003|Asia|,2003,-458.3,47.2556894243641,1494,1494,45.9839357429719,47.8915662650602
EPI_ISL_68652|Human|H5N1|1997|Asia|,1997,-469.8,47.6572958500669,1494,1494,46.7871485943775,48.0923694779116
EPI_ISL_68082|Swine|H5N1|2001|Asia|,2001,-454.8,47.3226238286479,1494,1494,46.1847389558233,47.8915662650602
EPI_ISL_70397|Human|H5N1|2005.485|Asia|,2005.485,-468.1,47.7911646586345,1494,1494,47.5903614457831,47.8915662650602
EPI_ISL_76976|Swine|H5N1|2007|Asia|,2007,-465.7,47.2556894243641,1494,1494,45.7831325301205,47.9919678714859
EPI_ISL_76975|Swine|H5N1|2006|Asia|,2006,-465.7,47.2556894243641,1494,1494,45.7831325301205,47.9919678714859
EPI_ISL_76974|Swine|H5N1|2007|Asia|,2007,-465.6,47.1887550200803,1494,1494,45.5823293172691,47.9919678714859
EPI_ISL_76973|Swine|H5N1|2007|Asia|,2007,-470.5,47.6572958500669,1494,1494,47.3895582329317,47.7911646586345
EPI_ISL_76972|Swine|H5N1|2007|Asia|,2007,-465.7,47.2556894243641,1494,1494,45.7831325301205,47.9919678714859
EPI_ISL_76971|Swine|H5N1|2006|Asia|,2006,-470.5,47.6572958500669,1494,1494,47.3895582329317,47.7911646586345
EPI_ISL_76970|Swine|H5N1|2006|Asia|,2006,-470.5,47.6572958500669,1494,1494,47.3895582329317,47.7911646586345
EPI_ISL_76969|Swine|H5N1|2006|Asia|,2006,-465.7,47.2556894243641,1494,1494,45.7831325301205,47.9919678714859
EPI_ISL_76968|Swine|H5N1|2006|Asia|,2006,-470.5,47.6572958500669,1494,1494,47.3895582329317,47.7911646586345
EPI_ISL_76967|Swine|H5N1|2005|Asia|,2005,-465,47.7242302543507,1494,1494,47.3895582329317,47.8915662650602
EPI_ISL_76966|Swine|H5N1|2005|Asia|,2005,-465,47.7242302543507,1494,1494,47.3895582329317,47.8915662650602
EPI_ISL_76965|Swine|H5N1|2005|Asia|,2005,-465,47.7242302543507,1494,1494,47.3895582329317,47.8915662650602
EPI_ISL_76964|Swine|H5N1|2005|Asia|,2005,-465,47.7242302543507,1494,1494,47.3895582329317,47.8915662650602
