G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,B3.13,HuH3N8
44.48630406,44.67467232,44.90740741,45.04865035,44.89171375,44.89956058,44.90740741,44.79755179,,,,,,,44.7740113,
44.52119309,44.8089147,45.07219083,45.04865035,44.88386692,44.86817326,44.90740741,,,,,,,,44.7740113,
44.52205305,44.80025116,45.08788449,45.05649718,44.67984934,44.87602009,44.90740741,,,,,,,,44.75831764,
44.49415274,44.76885645,45.08003766,45.05649718,44.71040653,44.89956058,44.89956058,,,,,,,,44.76616447,
44.48630406,44.68686235,45.07219083,45.04080352,44.85195948,44.86817326,44.87602009,,,,,,,,44.7740113,
44.49415274,44.79240248,45.08003766,45.03295669,44.85195948,44.9309479,44.88386692,,,,,,,,44.76032536,
44.52904239,44.74179878,45.06434401,45.02510986,44.85981308,44.9309479,44.89956058,,,,,,,,44.76616447,
44.52904239,44.74179878,45.06434401,45.02510986,44.82181296,44.81324545,44.88386692,,,,,,,,44.76616447,
44.44270016,44.67901428,45.05649718,45.0094162,44.80539862,44.86817326,,,,,,,,,44.73477715,
44.47409733,44.79673521,45.06434401,45.04080352,44.71123666,44.89956058,,,,,,,,,44.76616447,
44.48194662,44.80025116,44.89171375,45.04865035,44.71123666,44.88386692,,,,,,,,,44.76616447,
44.43195504,44.81594851,44.89956058,45.04865035,44.67984934,44.88386692,,,,,,,,,44.7740113,
44.52291274,44.81594851,45.04080352,45.08788449,44.67984934,44.84463277,,,,,,,,,44.78185813,
44.55430006,44.81324545,45.04080352,45.08788449,44.86032643,44.89171375,,,,,,,,,44.78185813,
44.54994899,44.68769617,45.04080352,45.00156937,44.82893911,44.9309479,,,,,,,,,44.78185813,
44.53075957,44.79240248,44.95448839,45.00156937,44.83678594,44.89171375,,,,,,,,,44.75831764,
44.51506591,44.71123666,44.95448839,45.00156937,44.60922787,,,,,,,,,,44.76616447,
44.49152542,44.72693032,44.97802888,45.04080352,44.74262398,,,,,,,,,,44.76616447,
44.4601381,44.71123666,44.97802888,45.04080352,44.695543,,,,,,,,,,44.80539862,
44.48555459,44.80539862,45.04865035,45.04080352,44.8524796,,,,,,,,,,44.7740113,
44.49152542,44.78185813,45.04865035,44.98587571,44.86817326,,,,,,,,,,44.76616447,
44.49152542,44.67901428,45.03295669,45.03295669,44.83678594,,,,,,,,,,44.78185813,
44.48367859,44.695543,45.04865035,45.03295669,44.88386692,,,,,,,,,,44.78970496,
44.49415274,44.78970496,45.08003766,45.03295669,44.86032643,,,,,,,,,,44.75831764,
44.52119309,44.75047081,45.04080352,45.03295669,44.84463277,,,,,,,,,,44.74262398,
44.5133438,44.75831764,45.07219083,45.0094162,44.88386692,,,,,,,,,,44.75047081,
44.50985009,44.78806907,44.90740741,45.0094162,44.8524796,,,,,,,,,,44.76616447,
44.50549451,44.69821835,44.90740741,45.04865035,44.8524796,,,,,,,,,,44.78970496,
44.57263951,44.66331816,45.04080352,45.0094162,44.57784055,,,,,,,,,,44.76616447,
44.41566596,44.70606703,45.04080352,45.0094162,44.84463277,,,,,,,,,,44.81324545,
44.46275803,44.70606703,45.04865035,45.00156937,44.8524796,,,,,,,,,,44.78970496,
44.53774918,44.70957614,45.05649718,45.03295669,44.84463277,,,,,,,,,,44.75831764,
44.43921199,44.76452119,45.05649718,45.04080352,44.82109228,,,,,,,,,,44.76616447,
44.48630406,44.76452119,45.07219083,45.06434401,44.82109228,,,,,,,,,,44.75831764,
44.47932198,44.76534296,45.01726303,45.05649718,44.87602009,,,,,,,,,,44.76616447,
44.53150506,44.78806907,45.03295669,45.03295669,44.56999372,,,,,,,,,,44.75831764,
44.49152542,44.79943481,44.93879473,45.0094162,44.58568738,,,,,,,,,,44.74262398,
44.49152542,44.77237049,44.93879473,45.07219083,44.57784055,,,,,,,,,,44.7740113,
44.49152542,44.77588508,45.01648093,45.06434401,44.84463277,,,,,,,,,,44.7740113,
44.45229127,44.76452119,45.09265075,45.04865035,44.8524796,,,,,,,,,,44.81324545,
44.55779644,44.76803517,44.94664156,45.07219083,44.89171375,,,,,,,,,,44.78185813,
44.47583176,44.66164233,45.06434401,45.07219083,44.83678594,,,,,,,,,,44.76616447,
44.56999372,44.77670513,45.06434401,45.08788449,44.83678594,,,,,,,,,,44.7740113,
44.51506591,44.72693032,45.07219083,45.01726303,44.83678594,,,,,,,,,,44.76616447,
44.49937225,44.72693032,44.98587571,45.06434401,44.78970496,,,,,,,,,,44.80539862,
44.49152542,44.74014759,44.98587571,45.06434401,44.78185813,,,,,,,,,,44.79755179,
44.52291274,44.74014759,44.99372254,45.06434401,44.78185813,,,,,,,,,,44.76616447,
44.52291274,44.7915849,45.09573132,45.03295669,44.82109228,,,,,,,,,,44.81324545,
44.53075957,44.8029518,45.09573132,45.02510986,44.83678594,,,,,,,,,,44.78970496,
44.46798493,44.72444654,45.08788449,45.04865035,44.78185813,,,,,,,,,,44.76616447,
44.52291274,44.78185813,45.09573132,45.04080352,44.84463277,,,,,,,,,,44.78185813,
44.52291274,44.72610265,45.04865035,45.01726303,44.76616447,,,,,,,,,,44.79755179,
44.49937225,44.80539862,45.05649718,45.04865035,44.78970496,,,,,,,,,,44.78970496,
44.51506591,44.79755179,45.04865035,45.06434401,44.86817326,,,,,,,,,,44.7740113,
44.47583176,44.78185813,44.92310107,45.05649718,44.7740113,,,,,,,,,,44.7740113,
